tile_id,device_id,timestamp_utc,temperature_c,latitude,longitude,altitude_m,city,country
T3,02:00:00:7f:a4:5a,2026-02-07T18:14:09+00:00,8.2,52.338489,6.257151,4,Heeten,NL
T3,02:00:00:84:5e:74,2026-02-07T18:16:44+00:00,7.6,52.328591,6.275631,8,Heeten,NL
T3,02:00:00:83:ef:a4,2026-02-07T18:13:14+00:00,7.6,52.31097,6.49035000000006,7,Rijssen-Holten,NL
T3,02:00:00:28:66:be,2026-02-07T18:17:13+00:00,8.2,52.306568,6.493452,7,Rijssen,NL
T3,02:00:00:52:d9:e8,2026-02-07T18:13:08+00:00,8.1,52.308959,6.50162700000005,10,Rijssen,NL
T3,02:00:00:04:58:9a,2026-02-07T18:20:56+00:00,5.0,52.29235,6.580566,11,Wierden,NL
T3,02:00:00:b5:47:b6,2026-02-07T18:13:40+00:00,6.8,52.300244,6.577013,12,Wierden,NL
T3,02:00:00:c2:32:d6,2026-02-07T18:17:11+00:00,5.2,52.298423,6.579881,9,Wierden,NL
T3,02:00:00:a2:36:10,2026-02-07T18:15:28+00:00,6.1,52.2936935424805,6.73735427856445,17,Borne,NL
T3,02:00:00:a9:8d:10,2026-02-07T18:17:46+00:00,6.0,52.293140411377,6.73777341842651,16,Borne,NL
T3,02:00:00:1c:7d:cc,2026-02-07T18:18:12+00:00,6.3,52.2943065075967,6.75164155406808,14,Borne,NL
T3,02:00:00:7f:b5:6a,2026-02-07T18:11:44+00:00,6.9,52.292076,6.805868,17,Hengelo (O),NL
T3,02:00:00:06:0a:a6,2026-02-07T18:18:22+00:00,6.3,52.292978,6.806103,17,Hengelo,NL
T3,02:00:00:12:ba:7c,2026-02-07T18:19:50+00:00,7.4,52.292504,6.815608,19,Hengelo,NL
T3,02:00:00:3a:23:d6,2026-02-07T18:11:37+00:00,7.2,52.294497,6.929307,42,Oldenzaal,NL
T3,02:00:00:58:d8:1e,2026-02-07T18:11:47+00:00,7.6,52.322419,6.898693,25,Oldenzaal,NL
T3,02:00:00:5f:15:5c,2026-02-07T18:21:21+00:00,8.7,52.3131217956543,6.90834760665894,35,Oldenzaal,NL
T3,02:00:00:bc:c8:34,2026-02-07T18:15:15+00:00,6.2,52.309223,6.998494,40,de Lutte,NL
T3,02:00:00:c2:4c:18,2026-02-07T18:12:36+00:00,6.0,52.309722,7.00395199999992,34,de Lutte,NL
T3,02:00:00:7f:b9:c6,2026-02-07T18:19:22+00:00,5.9,52.316053,7.005063,33,de Lutte,NL
T3,02:00:00:22:a2:6e,2026-02-07T18:14:18+00:00,7.5,52.30007,7.107489,61,Bad Bentheim,DE
T3,02:00:00:ab:ca:2c,2026-02-07T18:17:52+00:00,7.1,52.3046,7.105672,44,Bad Bentheim,DE
T3,02:00:00:3f:56:52,2026-02-07T18:16:07+00:00,5.6,52.3263301,7.1103452,33,Bad Bentheim,DE
T3,02:00:00:3b:ed:b0,2026-02-07T18:20:14+00:00,7.1,52.311958,7.220819,37,Schüttorf,DE
T3,02:00:00:90:e2:a4,2026-02-07T18:13:18+00:00,5.7,52.3149829979141,7.22525706493786,35,Schüttorf,DE
T3,02:00:00:17:eb:4e,2026-02-07T18:12:02+00:00,6.4,52.3245735168457,7.20733261108398,31,Schüttorf,DE
T3,02:00:00:33:d3:3a,2026-02-07T18:21:22+00:00,8.1,52.3864,6.0497,6,Heerde,NL
T3,02:00:00:52:ee:b2,2026-02-07T18:18:06+00:00,5.9,52.389363,6.048029,8,Heerde,NL
T3,02:00:00:65:42:1a,2026-02-07T18:21:01+00:00,6.2,52.3904777400549,6.04835987091065,6,Heerde,NL
T3,02:00:00:65:43:40,2026-02-07T18:18:03+00:00,7.6,52.378434,6.262154,5,Raalte,NL
T3,02:00:00:74:41:fa,2026-02-07T18:11:37+00:00,7.0,52.373437,6.263302,8,Raalte,NL
T3,02:00:00:58:cc:62,2026-02-07T18:12:19+00:00,7.5,52.377289,6.274062,7,Raalte,NL
T3,02:00:00:af:24:12,2026-02-07T18:11:33+00:00,6.5,52.3652229309082,6.45413637161255,13,Nijverdal,NL
T3,02:00:00:01:59:24,2026-02-07T18:20:35+00:00,6.9,52.3661959853493,6.45907044410706,12,Nijverdal,NL
T3,02:00:00:73:fc:00,2026-02-07T18:13:57+00:00,6.5,52.360244843341,6.46115420518866,12,Nijverdal,NL
T3,02:00:00:3b:e9:e8,2026-02-07T18:18:26+00:00,6.4,52.352719,6.472748,10,Nijverdal,NL
T3,02:00:00:af:3f:06,2026-02-07T18:13:30+00:00,6.1,52.360015,6.471933,10,Nijverdal,NL
T3,02:00:00:01:cf:b2,2026-02-07T18:13:53+00:00,6.5,52.3581619262695,6.47808074951172,10,Hellendoorn,NL
T3,02:00:00:1c:69:7c,2026-02-07T18:15:28+00:00,9.0,52.355076,6.584631,12,Wierden,NL
T3,02:00:00:b9:2f:2a,2026-02-07T18:13:45+00:00,7.0,52.355076,6.584631,12,Wierden,NL
T3,02:00:00:7a:c4:14,2026-02-07T18:19:43+00:00,6.0,52.371845,6.6013274,9,Wierden,NL
T3,02:00:00:bd:d7:74,2026-02-07T18:19:34+00:00,5.9,52.353466,6.687609,13,Almelo,NL
T3,02:00:00:32:d8:90,2026-02-07T18:13:58+00:00,6.3,52.3689868,6.6841057,12,Almelo,NL
T3,02:00:00:bc:c1:da,2026-02-07T18:19:48+00:00,5.2,52.37982,6.687045,12,Almelo,NL
T3,02:00:00:a2:05:b2,2026-02-07T18:20:50+00:00,4.6,52.35422,6.850979,17,Weerselo,NL
T3,02:00:00:84:24:0a,2026-02-07T18:13:02+00:00,4.7,52.353743,6.857943,16,Weerselo,NL
T3,02:00:00:02:de:1a,2026-02-07T18:05:29+00:00,5.2,52.3841899466522,6.80497452841348,17,Tubbergen,NL
