city_area,tile_id,device_id,timestamp_amsterdam,temperature_c,latitude,longitude,altitude_m,location_name,country
Utrecht,Utrecht_T1,02:00:00:a9:7a:0e,2026-02-17 16:39:26,4.3,52.140232,5.0987544,0,Tienhoven,NL
Utrecht,Utrecht_T1,02:00:00:1b:0e:48,2026-02-17 16:31:40,6.5,52.155,5.175,4,Maartensdijk,NL
Utrecht,Utrecht_T1,02:00:00:a4:7b:58,2026-02-17 16:39:09,5.3,52.173249,5.071005,0,Breukeleveen,NL
Utrecht,Utrecht_T1,02:00:00:02:f6:0e,2026-02-17 16:31:21,6.3,52.197652,5.132777,2,Loosdrecht,NL
Utrecht,Utrecht_T1,02:00:00:b0:a9:90,2026-02-17 16:33:53,6.5,52.200455,5.136932,3,Loosdrecht,NL
Utrecht,Utrecht_T1,02:00:00:64:1b:94,2026-02-17 16:32:01,6.5,52.20692,5.09326999999999,1,Loosdrecht,NL
Utrecht,Utrecht_T1,02:00:00:7b:01:10,2026-02-17 16:37:51,6.7,52.205692,5.131749,1,Loosdrecht,NL
Utrecht,Utrecht_T1,02:00:00:3c:ed:a2,2026-02-17 16:33:38,6.4,52.204017,5.140781,2,Loosdrecht,NL
Utrecht,Utrecht_T1,02:00:00:b9:7b:2e,2026-02-17 16:38:23,5.9,52.204017,5.140781,2,Loosdrecht,NL
Utrecht,Utrecht_T1,02:00:00:a2:46:44,2026-02-17 16:39:24,6.8,52.21016,5.159996,7,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:bd:fd:a6,2026-02-17 16:33:29,6.6,52.2087615,5.16269899999998,13,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:27:70:80,2026-02-17 16:39:09,6.4,52.209459,5.167922,18,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:b5:4f:02,2026-02-17 16:41:23,6.1,52.2167510750697,5.15140235424042,4,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:01:3a:f2,2026-02-17 16:35:00,6.0,52.2149722583813,5.16004279666198,7,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:b5:b0:3c,2026-02-17 16:37:30,6.2,52.2155,5.16047000000006,7,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:70:5f:4c,2026-02-17 16:35:47,5.9,52.2131071,5.161144,11,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:2c:c0:f8,2026-02-17 16:36:16,6.7,52.215289,5.191587,6,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:a9:cf:7e,2026-02-17 16:35:30,5.3,52.212353,5.197327,6,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:a9:99:4e,2026-02-17 16:36:41,6.0,52.217244,5.19999860000001,6,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:53:5a:42,2026-02-17 16:36:21,6.8,52.218062,5.125525,1,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:bc:cd:8a,2026-02-17 16:34:17,6.4,52.2181299999999,5.12974530000001,1,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:9c:fe:ea,2026-02-17 16:39:44,6.9,52.221093,5.142468,4,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:70:52:52,2026-02-17 16:41:16,6.2,52.2197,5.1654,8,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:37:0a:6e,2026-02-17 16:34:55,6.0,52.218807220459,5.17026710510254,11,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:27:41:20,2026-02-17 16:35:51,5.5,52.221503317108,5.17643809318542,7,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:7f:c0:96,2026-02-17 16:35:06,6.2,52.22016524,5.18491051,8,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:9b:49:56,2026-02-17 16:33:46,5.3,52.0555172581761,5.07246375001336,1,Nieuwegein,NL
