city_area,tile_id,device_id,timestamp_amsterdam,temperature_c,latitude,longitude,altitude_m,location_name,country
Utrecht,Utrecht_T1,02:00:00:a9:7a:0e,2026-04-07 13:52:40,15.3,52.140232,5.0987544,0,Tienhoven,NL
Utrecht,Utrecht_T1,02:00:00:37:12:66,2026-04-07 13:54:25,16.4,52.179145,5.068822,0,Breukeleveen,NL
Utrecht,Utrecht_T1,02:00:00:02:f6:0e,2026-04-07 13:50:42,16.2,52.197652,5.132777,2,Loosdrecht,NL
Utrecht,Utrecht_T1,02:00:00:b0:a9:90,2026-04-07 13:51:17,16.6,52.200455,5.136932,3,Loosdrecht,NL
Utrecht,Utrecht_T1,02:00:00:01:ad:e6,2026-04-07 13:53:24,20.6,52.2024453567653,5.13724302708387,4,Loosdrecht,NL
Utrecht,Utrecht_T1,02:00:00:5f:5a:3c,2026-04-07 13:49:25,16.3,52.203813,5.065594,0,Wijdemeren,NL
Utrecht,Utrecht_T1,02:00:00:64:1b:94,2026-04-07 13:52:15,16.3,52.20692,5.09326999999999,1,Loosdrecht,NL
Utrecht,Utrecht_T1,02:00:00:7a:8e:26,2026-04-07 13:48:40,20.2,52.205303,5.096588,0,Loosdrecht,NL
Utrecht,Utrecht_T1,02:00:00:00:10:50,2026-04-07 13:52:50,16.3,52.2050161837691,5.12837827205658,3,Loosdrecht,NL
Utrecht,Utrecht_T1,02:00:00:7b:01:10,2026-04-07 13:54:58,18.3,52.205692,5.131749,1,Loosdrecht,NL
Utrecht,Utrecht_T1,02:00:00:3c:ed:a2,2026-04-07 13:55:36,16.3,52.204017,5.140781,2,Loosdrecht,NL
Utrecht,Utrecht_T1,02:00:00:a2:46:44,2026-04-07 13:50:04,14.9,52.21016,5.159996,7,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:bd:fd:a6,2026-04-07 13:52:35,16.6,52.2087615,5.16269899999998,13,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:27:70:80,2026-04-07 13:49:48,23.7,52.209459,5.167922,18,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:b5:4f:02,2026-04-07 13:55:29,15.6,52.2167510750697,5.15140235424042,4,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:b9:77:1e,2026-04-07 13:47:45,14.1,52.216747,5.156587,6,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:01:3a:f2,2026-04-07 13:46:57,14.1,52.2149722583813,5.16004279666198,7,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:b5:b0:3c,2026-04-07 13:48:54,19.0,52.2155,5.16047000000006,7,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:27:9d:5e,2026-04-07 13:51:46,21.9,52.2139047447403,5.17507553100586,15,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:2c:c0:f8,2026-04-07 13:49:53,15.7,52.215289,5.191587,6,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:a9:99:4e,2026-04-07 13:49:52,15.3,52.217244,5.19999860000001,6,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:53:5a:42,2026-04-07 13:47:53,18.2,52.218062,5.125525,1,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:bc:cd:8a,2026-04-07 13:54:31,17.9,52.2181299999999,5.12974530000001,1,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:32:e1:fc,2026-04-07 13:47:55,20.3,52.21986,5.138679,0,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:9c:fe:ea,2026-04-07 13:51:53,16.3,52.221093,5.142468,4,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:70:52:52,2026-04-07 13:50:49,15.9,52.2197,5.1654,8,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:37:0a:6e,2026-04-07 13:48:20,17.5,52.218807220459,5.17026710510254,11,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:7f:c0:96,2026-04-07 13:51:28,19.1,52.22016524,5.18491051,8,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:64:32:10,2026-04-07 13:53:41,19.9,52.223183,5.198284,5,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:9b:49:56,2026-04-07 13:53:21,18.2,52.0555172581761,5.07246375001336,1,Nieuwegein,NL
Utrecht,Utrecht_T1,02:00:00:a4:2e:9e,2026-04-07 13:52:41,18.6,52.057163,5.071938,1,Nieuwegein,NL
Utrecht,Utrecht_T1,02:00:00:a9:c0:b8,2026-04-07 13:50:40,16.0,52.058835,5.135174,4,Utrecht,NL
Utrecht,Utrecht_T1,02:00:00:2b:2b:fc,2026-04-07 13:53:03,15.3,52.058835,5.135174,4,Utrecht,NL
Utrecht,Utrecht_T1,02:00:00:bd:cd:b0,2026-04-07 13:51:58,16.9,52.061641,5.128472,3,Utrecht,NL
Utrecht,Utrecht_T1,02:00:00:bd:dc:c4,2026-04-07 13:50:06,15.4,52.0630189775525,5.12959063053131,4,Utrecht,NL
Utrecht,Utrecht_T1,02:00:00:27:58:00,2026-04-07 13:52:58,16.9,52.06631,5.128964,4,Utrecht,NL
Utrecht,Utrecht_T1,02:00:00:2e:c2:fe,2026-04-07 13:54:34,16.1,52.060052,5.134025,4,Utrecht,NL
Utrecht,Utrecht_T1,02:00:00:28:ec:80,2026-04-07 13:54:19,18.3,52.065526,5.200063,5,Bunnik,NL
Utrecht,Utrecht_T1,02:00:00:63:34:44,2026-04-07 13:55:55,17.7,52.0706,5.0769,0,Utrecht,NL
Utrecht,Utrecht_T1,02:00:00:02:f3:b2,2026-04-07 13:49:24,18.1,52.0684013366699,5.10129976272583,4,Utrecht,NL
Utrecht,Utrecht_T1,02:00:00:37:1d:2c,2026-04-07 13:54:30,19.3,52.0740013122559,5.11969995498657,1,Utrecht,NL
Utrecht,Utrecht_T1,02:00:00:b5:00:ce,2026-04-07 13:49:54,18.1,52.069854,5.12234250000003,4,Utrecht,NL
Utrecht,Utrecht_T1,02:00:00:1e:2a:90,2026-04-07 13:53:42,17.0,52.070201,5.125238,4,Utrecht,NL
Utrecht,Utrecht_T1,02:00:00:a9:bd:4a,2026-04-07 13:54:26,18.5,52.070733,5.127336,4,Utrecht,NL
Utrecht,Utrecht_T1,02:00:00:1b:06:58,2026-04-07 13:52:49,17.6,52.0673070316701,5.19202797330763,5,Bunnik,NL
Utrecht,Utrecht_T1,02:00:00:83:ec:80,2026-04-07 13:55:04,17.9,52.077263,5.0638604,0,Utrecht,NL
Utrecht,Utrecht_T1,02:00:00:2f:04:02,2026-04-07 13:52:57,17.8,52.08055,5.122316,6,Utrecht,NL
Utrecht,Utrecht_T1,02:00:00:90:79:e6,2026-04-07 13:49:20,16.5,52.07892,5.14051000000002,4,Utrecht,NL
Utrecht,Utrecht_T1,02:00:00:53:25:54,2026-04-07 13:52:50,18.4,52.081985,5.087011,2,Utrecht,NL
Utrecht,Utrecht_T1,02:00:00:01:04:a2,2026-04-07 13:52:58,15.3,52.086276,5.08958300000004,8,Utrecht,NL
Utrecht,Utrecht_T1,02:00:00:5f:20:4a,2026-04-07 13:51:45,19.2,52.0821,5.108,1,Utrecht,NL
Utrecht,Utrecht_T1,02:00:00:b5:08:94,2026-04-07 13:55:25,15.2,52.084322,5.123681,8,Utrecht,NL
Utrecht,Utrecht_T1,02:00:00:52:de:e4,2026-04-07 13:50:23,18.8,52.08746,5.132928,3,Utrecht,NL
Utrecht,Utrecht_T1,02:00:00:5f:0e:c2,2026-04-07 13:51:34,16.5,52.085453,5.1514635,2,Utrecht,NL
Utrecht,Utrecht_T1,02:00:00:84:9e:e4,2026-04-07 13:48:27,16.3,52.085608,5.153452,1,Utrecht,NL
Utrecht,Utrecht_T1,02:00:00:58:71:a0,2026-04-07 13:53:42,19.0,52.0910855835456,5.06979963657994,0,Utrecht,NL
Utrecht,Utrecht_T1,02:00:00:8d:c3:0e,2026-04-07 13:51:26,18.4,52.09396,5.067146,1,Utrecht,NL
Utrecht,Utrecht_T1,02:00:00:5e:f9:3e,2026-04-07 13:55:54,19.4,52.095,5.06790999999997,2,Utrecht,NL
Utrecht,Utrecht_T1,02:00:00:b5:8a:96,2026-04-07 13:53:55,17.6,52.0890953545022,5.07631123065949,1,Utrecht,NL
Utrecht,Utrecht_T1,02:00:00:02:ab:72,2026-04-07 13:52:06,15.7,52.089195,5.089759,4,Utrecht,NL
Utrecht,Utrecht_T1,02:00:00:70:58:26,2026-04-07 13:53:18,16.2,52.093772,5.087235,3,Utrecht,NL
Utrecht,Utrecht_T1,02:00:00:b5:3c:02,2026-04-07 13:54:25,15.5,52.0945,5.09406000000001,4,Utrecht,NL
Utrecht,Utrecht_T1,02:00:00:b9:42:72,2026-04-07 13:51:01,17.8,52.0899963378906,5.09774255752563,4,Utrecht,NL
Utrecht,Utrecht_T1,02:00:00:52:c7:3e,2026-04-07 13:53:00,19.3,52.090397,5.101962,3,Utrecht,NL
