city_area,tile_id,device_id,timestamp_amsterdam,temperature_c,latitude,longitude,altitude_m,location_name,country
Utrecht,Utrecht_T1,02:00:00:a9:7a:0e,2026-04-12 08:50:37,8.8,52.140232,5.0987544,0,Tienhoven,NL
Utrecht,Utrecht_T1,02:00:00:37:12:66,2026-04-12 08:55:30,12.2,52.179145,5.068822,0,Breukeleveen,NL
Utrecht,Utrecht_T1,02:00:00:02:f6:0e,2026-04-12 08:47:10,10.0,52.197652,5.132777,2,Loosdrecht,NL
Utrecht,Utrecht_T1,02:00:00:b0:a9:90,2026-04-12 08:55:43,8.8,52.200455,5.136932,3,Loosdrecht,NL
Utrecht,Utrecht_T1,02:00:00:01:ad:e6,2026-04-12 08:56:04,10.4,52.2024453567653,5.13724302708387,4,Loosdrecht,NL
Utrecht,Utrecht_T1,02:00:00:5f:5a:3c,2026-04-12 08:51:52,10.7,52.203813,5.065594,0,Wijdemeren,NL
Utrecht,Utrecht_T1,02:00:00:64:1b:94,2026-04-12 08:48:09,10.9,52.20692,5.09326999999999,1,Loosdrecht,NL
Utrecht,Utrecht_T1,02:00:00:7a:8e:26,2026-04-12 08:48:45,10.9,52.205303,5.096588,0,Loosdrecht,NL
Utrecht,Utrecht_T1,02:00:00:00:10:50,2026-04-12 08:52:55,10.3,52.2050161837691,5.12837827205658,3,Loosdrecht,NL
Utrecht,Utrecht_T1,02:00:00:7b:01:10,2026-04-12 08:52:56,11.2,52.205692,5.131749,1,Loosdrecht,NL
Utrecht,Utrecht_T1,02:00:00:3c:ed:a2,2026-04-12 08:51:04,9.2,52.204017,5.140781,2,Loosdrecht,NL
Utrecht,Utrecht_T1,02:00:00:b9:7b:2e,2026-04-12 08:51:13,9.4,52.204017,5.140781,2,Loosdrecht,NL
Utrecht,Utrecht_T1,02:00:00:a2:46:44,2026-04-12 08:50:47,8.5,52.21016,5.159996,7,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:27:70:80,2026-04-12 08:51:27,8.8,52.209459,5.167922,18,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:b5:4f:02,2026-04-12 08:48:40,8.9,52.2167510750697,5.15140235424042,4,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:01:3a:f2,2026-04-12 08:47:44,9.4,52.2149722583813,5.16004279666198,7,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:70:5f:4c,2026-04-12 08:49:58,10.2,52.2131071,5.161144,11,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:6b:62:1c,2026-04-12 08:49:40,9.5,52.215113,5.161173,9,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:27:9d:5e,2026-04-12 08:55:52,11.7,52.2139047447403,5.17507553100586,15,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:2c:c0:f8,2026-04-12 08:54:48,9.8,52.215289,5.191587,6,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:a9:cf:7e,2026-04-12 08:54:42,9.0,52.212353,5.197327,6,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:a9:99:4e,2026-04-12 08:55:08,12.0,52.217244,5.19999860000001,6,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:53:5a:42,2026-04-12 08:56:30,9.0,52.218062,5.125525,1,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:bc:cd:8a,2026-04-12 08:53:47,8.8,52.2181299999999,5.12974530000001,1,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:32:e1:fc,2026-04-12 08:54:33,9.5,52.21986,5.138679,0,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:9c:fe:ea,2026-04-12 08:52:38,9.4,52.221093,5.142468,4,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:70:52:52,2026-04-12 08:47:51,10.5,52.2197,5.1654,8,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:37:0a:6e,2026-04-12 08:56:50,9.5,52.218807220459,5.17026710510254,11,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:27:41:20,2026-04-12 08:55:01,9.3,52.221503317108,5.17643809318542,7,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:7f:c0:96,2026-04-12 08:47:40,9.7,52.22016524,5.18491051,8,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:64:32:10,2026-04-12 08:57:15,10.3,52.223183,5.198284,5,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:a4:2e:9e,2026-04-12 08:55:00,10.8,52.057163,5.071938,1,Nieuwegein,NL
Utrecht,Utrecht_T1,02:00:00:a9:c0:b8,2026-04-12 08:53:11,8.7,52.058835,5.135174,4,Utrecht,NL
Utrecht,Utrecht_T1,02:00:00:2b:2b:fc,2026-04-12 08:54:49,8.4,52.058835,5.135174,4,Utrecht,NL
Utrecht,Utrecht_T1,02:00:00:bd:cd:b0,2026-04-12 08:49:48,8.9,52.061641,5.128472,3,Utrecht,NL
Utrecht,Utrecht_T1,02:00:00:bd:dc:c4,2026-04-12 08:48:19,9.5,52.0630189775525,5.12959063053131,4,Utrecht,NL
Utrecht,Utrecht_T1,02:00:00:27:58:00,2026-04-12 08:47:41,9.0,52.06631,5.128964,4,Utrecht,NL
Utrecht,Utrecht_T1,02:00:00:2e:c2:fe,2026-04-12 08:51:11,9.1,52.060052,5.134025,4,Utrecht,NL
Utrecht,Utrecht_T1,02:00:00:3e:ec:de,2026-04-12 08:48:58,10.8,52.0628885050208,5.13711911594507,4,Utrecht,NL
Utrecht,Utrecht_T1,02:00:00:28:ec:80,2026-04-12 08:48:22,8.3,52.065526,5.200063,5,Bunnik,NL
Utrecht,Utrecht_T1,02:00:00:63:34:44,2026-04-12 08:48:07,8.5,52.0706,5.0769,0,Utrecht,NL
Utrecht,Utrecht_T1,02:00:00:37:1d:2c,2026-04-12 08:51:49,10.1,52.0740013122559,5.11969995498657,1,Utrecht,NL
Utrecht,Utrecht_T1,02:00:00:a9:bd:4a,2026-04-12 08:56:00,12.4,52.070733,5.127336,4,Utrecht,NL
Utrecht,Utrecht_T1,02:00:00:65:70:6e,2026-04-12 08:49:30,7.4,52.069762,5.187772,3,Bunnik,NL
