city_area,tile_id,device_id,timestamp_amsterdam,temperature_c,latitude,longitude,altitude_m,location_name,country
Utrecht,Utrecht_T3,02:00:00:9b:49:56,2026-08-14 13:37:42,35.9,52.0555172581761,5.07246375001336,1,Nieuwegein,NL
Utrecht,Utrecht_T3,02:00:00:a4:2e:9e,2026-08-14 13:39:40,36.6,52.057163,5.071938,1,Nieuwegein,NL
Utrecht,Utrecht_T3,02:00:00:a9:c0:b8,2026-08-14 13:33:02,31.1,52.058835,5.135174,4,Utrecht,NL
Utrecht,Utrecht_T3,02:00:00:bd:cd:b0,2026-08-14 13:35:31,33.3,52.061641,5.128472,3,Utrecht,NL
Utrecht,Utrecht_T3,02:00:00:bd:dc:c4,2026-08-14 13:37:10,35.4,52.0630189775525,5.12959063053131,4,Utrecht,NL
Utrecht,Utrecht_T3,02:00:00:2e:c2:fe,2026-08-14 13:30:37,34.3,52.060052,5.134025,4,Utrecht,NL
Utrecht,Utrecht_T3,02:00:00:3e:ec:de,2026-08-14 13:32:45,34.8,52.0628885050208,5.13711911594507,4,Utrecht,NL
Utrecht,Utrecht_T3,02:00:00:28:ec:80,2026-08-14 13:37:55,35.6,52.065526,5.200063,5,Bunnik,NL
Utrecht,Utrecht_T3,02:00:00:63:34:44,2026-08-14 13:34:43,36.1,52.0706,5.0769,0,Utrecht,NL
Utrecht,Utrecht_T3,02:00:00:02:f3:b2,2026-08-14 13:33:12,33.9,52.0684013366699,5.10129976272583,4,Utrecht,NL
Utrecht,Utrecht_T3,02:00:00:c2:89:3a,2026-08-14 13:39:53,33.1,52.069,5.1024,4,Utrecht,NL
Utrecht,Utrecht_T3,02:00:00:37:1d:2c,2026-08-14 13:35:25,41.5,52.0740013122559,5.11969995498657,1,Utrecht,NL
Utrecht,Utrecht_T3,02:00:00:b5:00:ce,2026-08-14 13:35:32,35.8,52.069854,5.12234250000003,4,Utrecht,NL
Utrecht,Utrecht_T3,02:00:00:1e:2a:90,2026-08-14 13:34:22,35.1,52.070201,5.125238,4,Utrecht,NL
Utrecht,Utrecht_T3,02:00:00:a9:bd:4a,2026-08-14 13:40:00,37.9,52.070733,5.127336,4,Utrecht,NL
Utrecht,Utrecht_T3,02:00:00:65:70:6e,2026-08-14 13:38:36,35.8,52.069762,5.187772,3,Bunnik,NL
Utrecht,Utrecht_T3,02:00:00:1b:06:58,2026-08-14 13:37:09,36.0,52.0673070316701,5.19202797330763,5,Bunnik,NL
