city_area,tile_id,device_id,timestamp_amsterdam,temperature_c,latitude,longitude,altitude_m,location_name,country
Utrecht,Utrecht_T1,02:00:00:a9:7a:0e,2026-03-09 15:51:44,15.9,52.140232,5.0987544,0,Tienhoven,NL
Utrecht,Utrecht_T1,02:00:00:1b:0e:48,2026-03-09 15:43:33,17.6,52.155,5.175,4,Maartensdijk,NL
Utrecht,Utrecht_T1,02:00:00:37:12:66,2026-03-09 15:48:20,15.1,52.179145,5.068822,0,Breukeleveen,NL
Utrecht,Utrecht_T1,02:00:00:02:f6:0e,2026-03-09 15:48:49,16.4,52.197652,5.132777,2,Loosdrecht,NL
Utrecht,Utrecht_T1,02:00:00:b0:a9:90,2026-03-09 15:48:11,19.9,52.200455,5.136932,3,Loosdrecht,NL
Utrecht,Utrecht_T1,02:00:00:5f:5a:3c,2026-03-09 15:50:11,18.4,52.203813,5.065594,0,Wijdemeren,NL
Utrecht,Utrecht_T1,02:00:00:64:1b:94,2026-03-09 15:49:33,16.5,52.20692,5.09326999999999,1,Loosdrecht,NL
Utrecht,Utrecht_T1,02:00:00:7b:01:10,2026-03-09 15:49:01,19.1,52.205692,5.131749,1,Loosdrecht,NL
Utrecht,Utrecht_T1,02:00:00:3c:ed:a2,2026-03-09 15:47:08,17.3,52.204017,5.140781,2,Loosdrecht,NL
Utrecht,Utrecht_T1,02:00:00:a2:46:44,2026-03-09 15:49:45,16.6,52.21016,5.159996,7,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:bd:fd:a6,2026-03-09 15:45:26,17.6,52.2087615,5.16269899999998,13,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:27:70:80,2026-03-09 15:46:57,21.2,52.209459,5.167922,18,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:b5:4f:02,2026-03-09 15:48:19,17.2,52.2167510750697,5.15140235424042,4,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:b5:b0:3c,2026-03-09 15:44:47,20.0,52.2155,5.16047000000006,7,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:70:5f:4c,2026-03-09 15:50:38,18.4,52.2131071,5.161144,11,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:6b:62:1c,2026-03-09 15:50:50,19.0,52.215113,5.161173,9,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:27:9d:5e,2026-03-09 15:48:31,24.8,52.2139047447403,5.17507553100586,15,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:2c:c0:f8,2026-03-09 15:49:20,16.3,52.215289,5.191587,6,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:a9:99:4e,2026-03-09 15:50:34,16.2,52.217244,5.19999860000001,6,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:53:5a:42,2026-03-09 15:48:20,18.7,52.218062,5.125525,1,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:bc:cd:8a,2026-03-09 15:49:58,18.6,52.2181299999999,5.12974530000001,1,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:9c:fe:ea,2026-03-09 15:45:06,18.3,52.221093,5.142468,4,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:70:52:52,2026-03-09 15:42:45,17.0,52.2197,5.1654,8,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:37:0a:6e,2026-03-09 15:50:05,16.6,52.218807220459,5.17026710510254,11,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:7f:c0:96,2026-03-09 15:47:26,18.1,52.22016524,5.18491051,8,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:64:32:10,2026-03-09 15:44:01,21.0,52.223183,5.198284,5,Hilversum,NL
Utrecht,Utrecht_T1,02:00:00:9b:49:56,2026-03-09 15:43:14,17.2,52.0555172581761,5.07246375001336,1,Nieuwegein,NL
